-----------------------------------------------------------
[  1] local 192.168.70.135 port 44966 connected with 12.1.1.187 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 136.0000-137.0000 sec  2.23 MBytes  18.7 Mbits/sec
[  1] 137.0000-138.0000 sec  59.2 KBytes   485 Kbits/sec
[  1] 138.0000-139.0000 sec  1.88 MBytes  15.7 Mbits/sec
[  1] 139.0000-140.0000 sec  1.11 MBytes  9.29 Mbits/sec
[  1] 140.0000-141.0000 sec   255 KBytes  2.09 Mbits/sec
[  1] 141.0000-142.0000 sec  2.75 MBytes  23.1 Mbits/sec
[  1] 142.0000-143.0000 sec  47.5 KBytes   389 Kbits/sec
[  1] 143.0000-144.0000 sec   640 KBytes  5.24 Mbits/sec
[  1] 144.0000-145.0000 sec  2.06 MBytes  17.3 Mbits/sec
[  1] 145.0000-146.0000 sec  1.42 MBytes  11.9 Mbits/sec
[  1] 146.0000-147.0000 sec   256 KBytes  2.10 Mbits/sec
[  1] 147.0000-148.0000 sec  2.75 MBytes  23.1 Mbits/sec
[  1] 148.0000-149.0000 sec   555 KBytes  4.55 Mbits/sec
[  1] 149.0000-150.0000 sec  3.36 MBytes  28.2 Mbits/sec
[  1] 150.0000-151.0000 sec   185 KBytes  1.52 Mbits/sec
[  1] 151.0000-152.0000 sec  1.56 MBytes  13.1 Mbits/sec
[  1] 152.0000-153.0000 sec  1.42 MBytes  11.9 Mbits/sec
[  1] 153.0000-154.0000 sec   511 KBytes  4.19 Mbits/sec
[  1] 154.0000-155.0000 sec  2.75 MBytes  23.0 Mbits/sec
[  1] 155.0000-156.0000 sec  2.35 MBytes  19.7 Mbits/sec
[  1] 156.0000-157.0000 sec  58.5 KBytes   479 Kbits/sec
[  1] 157.0000-158.0000 sec  2.62 MBytes  22.0 Mbits/sec
[  1] 158.0000-159.0000 sec   439 KBytes  3.59 Mbits/sec
[  1] 159.0000-160.0000 sec  1.81 MBytes  15.2 Mbits/sec
[  1] 160.0000-161.0000 sec  1.30 MBytes  10.9 Mbits/sec
[  1] 161.0000-162.0000 sec  1.81 MBytes  15.2 Mbits/sec
[  1] 162.0000-163.0000 sec  1.80 MBytes  15.1 Mbits/sec
[  1] 163.0000-164.0000 sec   950 KBytes  7.78 Mbits/sec
[  1] 164.0000-165.0000 sec  1.93 MBytes  16.2 Mbits/sec
[  1] 165.0000-166.0000 sec  1.74 MBytes  14.6 Mbits/sec
[  1] 166.0000-167.0000 sec  1.18 MBytes  9.90 Mbits/sec
[  1] 167.0000-168.0000 sec  1.43 MBytes  12.0 Mbits/sec
[  1] 168.0000-169.0000 sec  1.61 MBytes  13.5 Mbits/sec
[  1] 169.0000-170.0000 sec  1.93 MBytes  16.2 Mbits/sec
[  1] 170.0000-171.0000 sec  2.42 MBytes  20.3 Mbits/sec
[  1] 171.0000-172.0000 sec  1.99 MBytes  16.7 Mbits/sec
[  1] 172.0000-173.0000 sec  1.06 MBytes  8.87 Mbits/sec
[  1] 173.0000-174.0000 sec  1.49 MBytes  12.5 Mbits/sec
[  1] 174.0000-175.0000 sec  1.37 MBytes  11.5 Mbits/sec
[  1] 175.0000-176.0000 sec  1.74 MBytes  14.6 Mbits/sec
